Transaction Date,Remarks,Debit Amount,Credit Amount,Available Balance
2025-11-22,NIP/DATAWISE ANALYTICS/Contract data dashboard,0.00,195000.00,4159100.00
2025-11-28,ATM/WD/Access Bank Garki,25000.00,0.00,4134100.00
2025-11-30,POS/Sweet Sensation Wuse,4200.00,0.00,4129900.00
2025-12-05,NIP/TECHNOVATE SOLUTIONS/Consultancy payment December,0.00,380000.00,4509900.00
2025-12-10,POS/Jabi Lake Mall Christmas shopping,65000.00,0.00,4444900.00
2025-12-15,TRANSFER/Christmas gifts and travel,80000.00,0.00,4364900.00
2025-12-18,NIP/FIRST SECURITIES/Investment interest Q4,0.00,52000.00,4416900.00
2025-12-22,POS/SPAR Supermarket Gwarinpa holiday provisions,28500.00,0.00,4388400.00
2025-12-28,WEB/Domain and hosting renewals year-end,15000.00,0.00,4373400.00
2025-12-31,ATM/WD/Access Bank Wuse II,30000.00,0.00,4343400.00
